Room Number,Room Name,Token,QR Code URL
"101","Room 101","qr_101_t9u2v5w8x1y4","https://menu.theplazahoteledirne.com?token=qr_101_t9u2v5w8x1y4"
"102","Room 102","qr_102_z7a0b3c6d9e2","https://menu.theplazahoteledirne.com?token=qr_102_z7a0b3c6d9e2"
"103","Room 103","qr_103_f5g8h1i4j7k0","https://menu.theplazahoteledirne.com?token=qr_103_f5g8h1i4j7k0"
"104","Room 104","qr_104_l3m6n9o2p5q8","https://menu.theplazahoteledirne.com?token=qr_104_l3m6n9o2p5q8"
"105","Room 105","qr_105_r1s4t7u0v3w6","https://menu.theplazahoteledirne.com?token=qr_105_r1s4t7u0v3w6"
"106","Room 106","qr_106_x9y2z5a8b1c4","https://menu.theplazahoteledirne.com?token=qr_106_x9y2z5a8b1c4"
"107","Room 107","qr_107_d7e0f3g6h9i2","https://menu.theplazahoteledirne.com?token=qr_107_d7e0f3g6h9i2"
"108","Room 108","qr_108_j5k8l1m4n7o0","https://menu.theplazahoteledirne.com?token=qr_108_j5k8l1m4n7o0"
"109","Room 109","qr_109_p3q6r9s2t5u8","https://menu.theplazahoteledirne.com?token=qr_109_p3q6r9s2t5u8"
"110","Room 110","qr_110_v1w4x7y0z3a6","https://menu.theplazahoteledirne.com?token=qr_110_v1w4x7y0z3a6"
"111","Room 111","qr_111_b9c2d5e8f1g4","https://menu.theplazahoteledirne.com?token=qr_111_b9c2d5e8f1g4"
"201","Room 201","qr_201_h7i0j3k6l9m2","https://menu.theplazahoteledirne.com?token=qr_201_h7i0j3k6l9m2"
"202","Room 202","qr_202_n5o8p1q4r7s0","https://menu.theplazahoteledirne.com?token=qr_202_n5o8p1q4r7s0"
"203","Room 203","qr_203_t3u6v9w2x5y8","https://menu.theplazahoteledirne.com?token=qr_203_t3u6v9w2x5y8"
"204","Room 204","qr_204_z1a4b7c0d3e6","https://menu.theplazahoteledirne.com?token=qr_204_z1a4b7c0d3e6"
"205","Room 205","qr_205_f9g2h5i8j1k4","https://menu.theplazahoteledirne.com?token=qr_205_f9g2h5i8j1k4"
"206","Room 206","qr_206_l7m0n3o6p9q2","https://menu.theplazahoteledirne.com?token=qr_206_l7m0n3o6p9q2"
"207","Room 207","qr_207_r5s8t1u4v7w0","https://menu.theplazahoteledirne.com?token=qr_207_r5s8t1u4v7w0"
"208","Room 208","qr_208_x3y6z9a2b5c8","https://menu.theplazahoteledirne.com?token=qr_208_x3y6z9a2b5c8"
"209","Room 209","qr_209_d1e4f7g0h3i6","https://menu.theplazahoteledirne.com?token=qr_209_d1e4f7g0h3i6"
"210","Room 210","qr_210_j9k2l5m8n1o4","https://menu.theplazahoteledirne.com?token=qr_210_j9k2l5m8n1o4"
"211","Room 211","qr_211_p7q0r3s6t9u2","https://menu.theplazahoteledirne.com?token=qr_211_p7q0r3s6t9u2"
"212","Room 212","qr_212_v5w8x1y4z7a0","https://menu.theplazahoteledirne.com?token=qr_212_v5w8x1y4z7a0"
"301","Room 301","qr_301_b3c6d9e2f5g8","https://menu.theplazahoteledirne.com?token=qr_301_b3c6d9e2f5g8"
"302","Room 302","qr_302_h1i4j7k0l3m6","https://menu.theplazahoteledirne.com?token=qr_302_h1i4j7k0l3m6"
"303","Room 303","qr_303_n9o2p5q8r1s4","https://menu.theplazahoteledirne.com?token=qr_303_n9o2p5q8r1s4"
"304","Room 304","qr_304_t7u0v3w6x9y2","https://menu.theplazahoteledirne.com?token=qr_304_t7u0v3w6x9y2"
"305","Room 305","qr_305_z5a8b1c4d7e0","https://menu.theplazahoteledirne.com?token=qr_305_z5a8b1c4d7e0"
"306","Room 306","qr_306_f3g6h9i2j5k8","https://menu.theplazahoteledirne.com?token=qr_306_f3g6h9i2j5k8"
